Part,Supplier,Supplier Part Number,Manufacturer,Manufacturer Part Number,Quantity,Price (each),Subtotal,,Price (bulk),Subtotal (100 sensors),Subtotal (per sensor for 100),
Perfboard (15x20 holes),Digikey,SBBTH1520-1-ND,Chip Quik Inc.,SBBTH1520-1,1,$3.69,$3.69,,$3.69,$369.00,$3.69,
ATmega328P-PU Microcontroller,Digikey,ATMEGA328P-PU-ND,Microchip Technology,ATMEGA328P-PU,1,$2.20,$2.20,,$1.83,$183.38,$1.83,
28-DIP Socket,Digikey,ED3050-5-ND,On Shore Technology,ED281DT,1,$0.33,$0.33,,$0.22,$22.05,$0.22,
SN74HC393N Dual Binary Counter,Digikey,296-8319-5-ND,Texas Instruments,SN74HC393N,1,$0.50,$0.50,,$0.32,$31.92,$0.32,
14-DIP Socket,Digikey,ED3045-5-ND,On Shore Technology,ED14DT,1,$0.18,$0.18,,$0.12,$11.96,$0.12,
6-SIP Socket,Digikey,952-1986-ND,Harwin Inc.,D01-9970642,1,$0.58,$0.58,,$0.42,$41.63,$0.42,
8 MHz Crystal,Digikey,887-1008-ND,TXC Corporation,9B-8.000MAAJ-B,1,$0.39,$0.39,,$0.26,$26.00,$0.26,
0.1uF Ceramic Capacitor,Digikey,399-4329-ND,KEMET,C332C104K5RTA,3,$0.22,$0.66,,$0.09,$25.50,$0.26,
18 pF Ceramic Capacitor,Digikey,399-9718-ND,KEMET,C315C180J1G5TA,2,$0.43,$0.86,,$0.18,$35.64,$0.36,
10 kOhm Resistor,Digikey,RNF18FTD10K0CT-ND,Stackpole Electronics,RNF18FTD10K0,1,$0.10,$0.10,,$0.03,$2.75,$0.03,
174 Ohm Resistor,Digikey,174XBK-ND,Yageo,MFR-25FBF52-174R,2,$0.10,$0.20,,$0.03,$6.30,$0.06,
976 Ohm Resistor,Digikey,976XBK-ND,Yageo,MFR-25FBF52-976R,2,$0.10,$0.20,,$0.03,$6.30,$0.06,
470 Ohm Resistor,Digikey,RNF14FTD470RCT-ND,Stackpole Electronics,RNF14FTD470R,2,$0.10,$0.20,,$0.03,$5.50,$0.06,
2N7000 N-Channel MOSFET,Digikey,2N7000TACT-ND,ON Semiconductor,2N7000TA,2,$0.49,$0.98,,$0.21,$41.44,$0.41,
860nm IR Emitter,Digikey,475-3043-1-ND,OSRAM Opto Semiconductors,SFH 4059-QS,2,$0.88,$1.76,,$0.49,$98.24,$0.98,
Light to Frequency IC,Digikey,TSL238-TCT-ND,AMS,TSL238T,2,$5.56,$11.12,,$3.03,$605.38,$6.05,
SOT23 to DIP Adapter,Digikey,1568-1098-ND,SparkFun Electronics,BOB-00717,4,$0.95,$3.80,,$0.95,$380.00,$3.80,
3-D Printed Part,,TBD,,,,,$0.00,,,$0.00,$0.00,
Internal Wires,,TBD,,,,,$0.00,,,$0.00,$0.00,
Plug - Female Panel Mount,Digikey,SC266-ND,Switchcraft Inc.,EN3P6FX,1,$10.87,$10.87,,$7.22,$722.00,$7.22,
Plug - Male Cable Mount,Digikey,SC258-ND,Switchcraft Inc.,EN3C6MX,1,$8.48,$8.48,,$5.74,$574.00,$5.74,
Cable,Digikey,T1346-5-ND,Tensility International Corp,30-00507,1,$13.03,$13.03,,$10.65,"$1,065.00",$10.65,could be purchased at longer lengths and cut to desired size
Enclosure,Polycase,AN-14P,Polycase,AN-14P,1,$15.40,$15.40,,$10.30,"$1,030.00",$10.30,
Inlet Tube,ePlastics,ACREXST1.000,ePlastics,ACREXST1.000 (6 ft lengths),1,$13.53,$13.53,,$10.50,$94.50,$0.95,need 9 lengths
,,,,,,,,,,,,
Total,,,,,,,$89.06,,,"$5,378.49",$53.78,
,,,,,,,,,,,,
,,,,,,,,,,,,
Consumables,,,,,,,,,,,,
Spray Paint,Menards,5578090,Rust-Oleum,Flat Protective Enamel Paint,1,$3.96,$3.96,,,,,
Caulk,Menards,5202628,Loctite,PL Marine Adhesive Sealant,1,$12.97,$12.97,,,,,
,,,,,,,,,,,,
Total,,,,,,,$16.93,,,,,
